,Name,Rating,Review,C-type,HQ,Old,Employee
6974,S Mobile Devices,4.1,(71 Reviews),Private,Noida + 6 more,10 years old,51-200 Employees (India)
6975,Sahyadri Farmers...,3.9,(71 Reviews),Private,Nashik + 4 more,12 years old,501-1k Employees (India)
6976,Symsafe Systems,4.8,(71 Reviews),Private,"Jaipur,Rajasthan",19 years old,11-50 Employees (India)
6977,John Crane Seali...,3.4,(71 Reviews),Private,"Chicago,Illinois + 2 more",10 years old,201-500 Employees (India)
6978,MSC Technology I...,3.8,(71 Reviews),Private,"Chennai,Tamil Nadu + 3 more",15 years old,1k-5k Employees (India)
6979,Prettislim,4.6,(71 Reviews),Private,Mumbai + 2 more,17 years old,51-200 Employees (India)
6980,Promac Engineeri...,4.2,(71 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 2 more",50 years old,501-1k Employees (India)
6981,Ceratizit,4.5,(71 Reviews),Private,Mamer + 13 more,101 years old,201-500 Employees (India)
6982,Skillmine Techno...,4.1,(71 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 4 more",11 years old,201-500 Employees (India)
6983,Sahyadri Industr...,3.8,(71 Reviews),Public,Pune + 14 more,75 years old,501-1k Employees (India)
6984,Apollo Telehealt...,4.5,(71 Reviews),Hyderabad/Secunderabad + 16 more,12 years old,51-200 Employees (India),nan
6985,Injectoplast,3.7,(71 Reviews),Kanpur + 1 more,34 years old,201-500 Employees (India),nan
6986,Western Heat And...,3.7,(71 Reviews),Private,Pune,40 years old,201-500 Employees (India)
6987,Karuna Greentech,2.6,(71 Reviews),Private,Kolkata + 16 more,7 years old,201-500 Employees (India)
6988,Meinhardt Group,3.6,(71 Reviews),Private,"Bukit Merah, + 21 more",25 years old,201-500 Employees (India)
6989,Apollo Telehealt...,4.5,(71 Reviews),Hyderabad/Secunderabad + 16 more,12 years old,51-200 Employees (India),nan
6990,Oman Trading Est...,4.3,(71 Reviews),Private,Muscat + 1 more,31 years old,1k-5k Employees (Global)
6991,Injectoplast,3.7,(71 Reviews),Kanpur + 1 more,34 years old,201-500 Employees (India),nan
6992,Renom Energy Ser...,4.4,(71 Reviews),"Pune,maharashtra + 10 more",201-500 Employees (India),nan,nan
6993,MSC Technology I...,3.8,(71 Reviews),Private,"Chennai,Tamil Nadu + 3 more",15 years old,1k-5k Employees (India)
6994,Aurobindo Realty...,4.3,(71 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 4 more",6 years old,201-500 Employees (India)
6995,Panoramic Group ...,3.1,(71 Reviews),Private,Mumbai + 14 more,25 years old,1-10 Employees (India)
6996,Perpetuuiti Tech...,4.3,(71 Reviews),Private,"Gurgaon,Haryana + 4 more",11 years old,51-200 Employees (India)
6997,Patel Motors,4.2,(71 Reviews),Private,Indore + 2 more,29 years old,11-50 Employees (India)
6998,HCG Manavata Can...,4.3,(71 Reviews),"Nashik,Maharashtra",15 years old,501-1k Employees (Global),nan
6999,CityMall,3.7,(71 Reviews),Private,"Gurgaon,Haryana + 13 more",3 years old,51-200 Employees (India)
7000,TDSG LITHIUM-ION...,4.2,(71 Reviews),"Ahmedabad,Gujarat + 4 more",3 years old,nan,nan
7001,Centurion Softwa...,4.5,(71 Reviews),Bengaluru/Bangalore + 2 more,11-50 Employees (India),nan,nan
7002,SanDisk India De...,4.4,(71 Reviews),Private,San Jose + 3 more,17 years old,1k-5k Employees (India)
7003,KPC Projects,4.2,(71 Reviews),Private,Hyderabad + 12 more,27 years old,201-500 Employees (India)
7004,LatentView Analy...,4.0,(71 Reviews),Private,"Princeton,New Jersey + 2 more",16 years old,201-500 Employees (India)
7005,Goodrich Maritim...,3.3,(71 Reviews),Mumbai + 11 more,25 years old,51-200 Employees (India),nan
7006,Sharda Cropchem,4.4,(71 Reviews),Public,"Mumbai,Maharashtra + 8 more",35 years old,1k-5k Employees (India)
7007,Spaze Towers,4.0,(71 Reviews),Private,"Gurgaon/Gurugram,Haryana + 2 more",16 years old,51-200 Employees (India)
7008,Ambey Mining,3.6,(71 Reviews),Private,Kolkata + 5 more,17 years old,1k-5k Employees (India)
7009,Pioneer e Soluti...,4.2,(71 Reviews),Private,"New Delhi,Delhi + 22 more",10 years old,11-50 Employees (India)
7010,Object Technolog...,3.6,(71 Reviews),Private,"Overland Park,Kansas + 4 more",12 years old,201-500 Employees (India)
7011,Rane Group,4.1,(2k Reviews),Public,Chennai + 12 more,1k-5k Employees (India),nan
7012,Neo Structo Cons...,3.8,(70 Reviews),Public,"Surat,Gujarat + 9 more",37 years old,501-1k Employees (India)
7013,Manikgarh Cement,4.1,(70 Reviews),Private,Chandrapur + 11 more,35 years old,201-500 Employees (India)
7014,Express Clinics,3.0,(70 Reviews),Private,"Pune,Maharashtra + 8 more",11 years old,51-200 Employees (India)
7015,Mitsubishi Power...,4.3,(70 Reviews),Private,Yokohama + 9 more,8 years old,10k-50k Employees (Global)
7016,Maxim Integrated,4.3,(70 Reviews),Public,"San Jose,California + 2 more",39 years old,201-500 Employees (India)
7017,Comau,3.1,(70 Reviews),Private,Grugliasco,25 years old,51-200 Employees (India)
7018,Le Passage to In...,4.4,(70 Reviews),Private,Noida + 10 more,18 years old,501-1k Employees (Global)
7019,Lot Mobiles,3.7,(70 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 13 more",10 years old,501-1k Employees (India)
7020,Ventech (India),4.5,(70 Reviews),Private,Pune + 4 more,10 years old,11-50 Employees (Global)
7021,Lybrate,3.7,(70 Reviews),Private,"Delhi,NCT + 5 more",9 years old,51-200 Employees (India)
7022,Apollo Pipes,3.8,(70 Reviews),Public,"Delhi/NCR,New Delhi + 17 more",22 years old,201-500 Employees (India)
7023,Elico,3.3,(70 Reviews),Hyderabad + 6 more,62 years old,201-500 Employees (India),nan
7024,Prumatech Servic...,3.9,(70 Reviews),Chennai + 6 more,26 years old,11-50 Employees (India),nan
7025,GASCO,4.4,(70 Reviews),Private,Abu Dhabi + 6 more,51 years old,201-500 Employees (India)
7026,UBS Cognizant,3.7,(70 Reviews),Hyderabad/Secunderabad + 9 more,50k-1 Lakh Employees (India),nan,nan
7027,Greytrix,4.5,(70 Reviews),Private,"Mumbai,Maharashtra",22 years old,51-200 Employees (India)
7028,Unicom Infotel,4.1,(70 Reviews),Private,Mumbai + 17 more,26 years old,51-200 Employees (India)
7029,Navodaya Vidyala...,4.4,(70 Reviews),Private,Noida + 23 more,37 years old,501-1k Employees (Global)
7030,Progility Techno...,3.4,(70 Reviews),Mumbai + 14 more,10 years old,51-200 Employees (India),nan
7031,Central Coalfiel...,4.3,(70 Reviews),Private,Ranchi + 3 more,47 years old,10k-50k Employees (Global)
7032,Mitsubishi Power...,4.3,(70 Reviews),Private,Yokohama + 9 more,8 years old,10k-50k Employees (Global)
7033,Pearl Academy,3.9,(70 Reviews),Private,New Delhi + 7 more,29 years old,201-500 Employees (India)
7034,Vee Gee Industri...,4.0,(70 Reviews),Private,Faridabad + 2 more,15 years old,201-500 Employees (India)
7035,Dynamic Engineer...,3.4,(70 Reviews),Public,Houston + 16 more,40 years old,51-200 Employees (India)
7036,Basavatarakam In...,4.4,(70 Reviews),Private,Hyderabad + 3 more,22 years old,501-1k Employees (India)
7037,Corrival Corpora...,4.4,(70 Reviews),Hyderabad + 16 more,16 years old,501-1k Employees (Global),nan
7038,Gokaldas Images,3.6,(70 Reviews),Bengaluru + 4 more,43 years old,201-500 Employees (India),nan
7039,Neo Structo Cons...,3.8,(70 Reviews),Public,"Surat,Gujarat + 9 more",37 years old,501-1k Employees (India)
7040,Manikgarh Cement,4.1,(70 Reviews),Private,Chandrapur + 11 more,35 years old,201-500 Employees (India)
7041,Uma Polymers,3.8,(70 Reviews),Private,Jodhpur + 16 more,35 years old,1k-5k Employees (India)
7042,Express Clinics,3.0,(70 Reviews),Private,"Pune,Maharashtra + 8 more",11 years old,51-200 Employees (India)
7043,Maxim Integrated,4.3,(70 Reviews),Public,"San Jose,California + 2 more",39 years old,201-500 Employees (India)
7044,Beckman Coulter,3.9,(70 Reviews),Private,"Brea,California + 10 more",87 years old,201-500 Employees (India)
7045,Yethi Consulting,4.1,(70 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",9 years old,501-1k Employees (India)
7046,Infinium Toyota,4.1,(70 Reviews),Private,Ahmedabad + 6 more,22 years old,201-500 Employees (India)
7047,Comau,3.1,(70 Reviews),Private,Grugliasco,25 years old,51-200 Employees (India)
7048,Click Labs,3.4,(70 Reviews),Private,"Chandigarh,Union Territory Of Chandigarh + 2 more",11 years old,201-500 Employees (India)
7049,Arbro Pharmaceut...,3.9,(70 Reviews),Private,"New Delhi,Delhi + 2 more",37 years old,51-200 Employees (India)
7050,Amalgamated Plan...,4.3,(70 Reviews),Private,Kolkata + 5 more,149 years old,10k-50k Employees (Global)
7051,MAMTA Health Ins...,4.3,(70 Reviews),New Delhi + 19 more,32 years old,11-50 Employees (India),nan
7052,Radiant Polymers,4.1,(70 Reviews),"New Delhi,Delhi + 9 more",33 years old,501-1k Employees (India),nan
7053,Udaan Technologi...,3.9,(70 Reviews),Noida + 25 more,11 years old,11-50 Employees (India),nan
7054,Livedigital Mark...,3.0,(70 Reviews),Private,Noida + 5 more,9 years old,11-50 Employees (Global)
7055,Trinity Engineer...,3.7,(70 Reviews),Private,Pune + 7 more,49 years old,201-500 Employees (India)
7056,Avi Solar Energy,4.2,(70 Reviews),Private,Bangalore + 10 more,12 years old,51-200 Employees (India)
7057,Klassic Wheels,3.2,(70 Reviews),Ahmednagar + 5 more,28 years old,51-200 Employees (India),nan
7058,Deepak Fasteners,3.9,(70 Reviews),Ludhiyana + 3 more,64 years old,1k-5k Employees (India),nan
7059,Mumbai District ...,4.1,(70 Reviews),Public,Mumbai + 3 more,47 years old,5k-10k Employees (India)
7060,Safari Company,3.7,(70 Reviews),Private,Lagos + 8 more,5k-10k Employees (India),nan
7061,Bewakoof,3.8,(70 Reviews),Private,"Mumbai,Maharashtra + 6 more",11 years old,201-500 Employees (India)
7062,KSB Limited - Ir...,4.1,(70 Reviews),Frankenthal + 13 more,501-1k Employees (India),nan,nan
7063,Gram Panchayat,4.1,(70 Reviews),Raigarh + 18 more,nan,nan,nan
7064,Intellipaat Soft...,3.0,(70 Reviews),Private,Jaipur + 4 more,11 years old,201-500 Employees (India)
7065,HP Global e-Busi...,4.5,(70 Reviews),Public,Palo Alto + 2 more,83 years old,1-10 Employees (India)
7066,Denso Ten Minda ...,4.1,(70 Reviews),Bawal + 5 more,10 years old,51-200 Employees (India),nan
7067,PFSweb,3.9,(70 Reviews),Private,Texas + 1 more,23 years old,201-500 Employees (India)
7068,Batliboi,4.0,(70 Reviews),Public,"Mumbai,Maharashtra + 12 more",130 years old,501-1k Employees (India)
7069,Ramraj Cotton,4.1,(70 Reviews),Private,"Tirupur/Tiruppur,Tamil Nadu + 8 more",39 years old,1k-5k Employees (Global)
7070,TD Power Systems,4.2,(70 Reviews),Public,"Bangalore,Karnataka + 4 more",23 years old,501-1k Employees (India)
7071,Woodenstreet.com,3.4,(70 Reviews),Private,"Jaipur,Rajasthan + 12 more",7 years old,51-200 Employees (India)
7072,Nccl,3.8,(70 Reviews),Mumbai + 15 more,4 years old,51-200 Employees (Global),nan
7073,NETPLUS Broadban...,3.8,(70 Reviews),Private,"Delhi/NCR,Delhi + 10 more",8 years old,51-200 Employees (India)
7074,Max Smart Super ...,4.2,(70 Reviews),New Delhi + 7 more,16 years old,10k-50k Employees (India),nan
7075,CollegeDekho,3.5,(70 Reviews),"Gurgaon,Haryana + 8 more",7 years old,501-1k Employees (India),nan
7076,Wockhardt Founda...,4.2,(70 Reviews),Mumbai + 19 more,14 years old,51-200 Employees (India),nan
7077,Cozmo Travel,4.4,(70 Reviews),Sharjah + 14 more,12 years old,51-200 Employees (India),nan
7078,Kapston Faciliti...,3.9,(70 Reviews),Public,Hyderabad + 12 more,13 years old,501-1k Employees (India)
7079,DMI DRAEXLMAIER ...,4.1,(70 Reviews),Private,Vilsbiburg,64 years old,51-200 Employees (India)
7080,Ecocat India,4.4,(70 Reviews),Private,Faridabad + 1 more,31 years old,51-200 Employees (India)
7081,Shakti Hormann,3.3,(70 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 8 more",34 years old,51-200 Employees (India)
7082,DBL,3.9,(70 Reviews),Public,Bhopal + 22 more,35 years old,1 Lakh+ Employees (India)
7083,Mrf Corp Vapocur...,3.8,(70 Reviews),Chennai + 32 more,33 years old,51-200 Employees (Global),nan
7084,Lanco Amarkantak...,4.4,(70 Reviews),Gurgaon + 5 more,21 years old,1-10 Employees (India),nan
7085,Ambuja Cement Fo...,4.2,(70 Reviews),Mumbai + 23 more,29 years old,51-200 Employees (India),nan
7086,ElringKlinger AG,4.6,(70 Reviews),Private,Dettingen + 2 more,143 years old,51-200 Employees (India)
7087,Space Matrix Des...,3.6,(70 Reviews),Private,Singapore + 9 more,21 years old,201-500 Employees (India)
7088,RWS Moravia,4.0,(70 Reviews),Private,Chalfont St Peter + 3 more,32 years old,5k-10k Employees (India)
7089,Pentagon System ...,4.1,(70 Reviews),Private,"Mumbai,Maharashtra + 14 more",28 years old,201-500 Employees (India)
7090,Varite,3.7,(70 Reviews),Private,San Jose + 6 more,22 years old,201-500 Employees (India)
7091,Tech2Globe,4.0,(70 Reviews),LLP,"Delhi/NCR,Delhi",8 years old,201-500 Employees (India)
7092,Diverse Lynx,3.2,(70 Reviews),LLC,"Princeton,New Jersey + 7 more",20 years old,51-200 Employees (India)
7093,Arrow Electronic...,3.7,(279 Reviews),Private,"Mumbai,Maharashtra + 5 more",32 years old,51-200 Employees (India)
7094,Intuit,4.0,(71 Reviews),Private,"Mountain View,California + 2 more",17 years old,1k-5k Employees (India)
7095,SDM College of E...,4.2,(69 Reviews),Private,Dharwad + 17 more,43 years old,201-500 Employees (India)
7096,Shri Venkateshwa...,4.3,(69 Reviews),Private,"Gajraula,Uttar Pradesh + 12 more",12 years old,51-200 Employees (India)
7097,Star Paper Mills,3.6,(69 Reviews),Public,Kolkata + 3 more,84 years old,1k-5k Employees (India)
7098,IMA-PG,4.0,(69 Reviews),Private,Navi Mumbai + 3 more,61 years old,201-500 Employees (India)
7099,Interglobe Techn...,4.2,(69 Reviews),Private,Gurgaon + 13 more,28 years old,201-500 Employees (India)
7100,Total Shipping &...,3.9,(69 Reviews),"Mumbai,Maharashtra + 17 more",24 years old,201-500 Employees (India),nan
7101,Daksh eServices,4.3,(69 Reviews),Gurgaon/Gurugram + 7 more,501-1k Employees (India),nan,nan
7102,MSF,4.7,(69 Reviews),NGO/NPO,Geneva + 20 more,51 years old,501-1k Employees (India)
7103,Grace Toyota,3.7,(69 Reviews),Nagpur + 6 more,21 years old,51-200 Employees (India),nan
7104,Metec Design & C...,3.6,(69 Reviews),Chennai + 2 more,20 years old,501-1k Employees (India),nan
7105,Marc Enterprises,3.7,(69 Reviews),Private,New Delhi + 7 more,41 years old,201-500 Employees (India)
7106,Alp Nishikawa,4.1,(69 Reviews),Private,Gurgaon + 4 more,26 years old,51-200 Employees (India)
7107,Firmenich Aromat...,4.4,(69 Reviews),Private,"Meyrin,Geneva + 6 more",127 years old,201-500 Employees (India)
7108,Radiate E Servic...,2.8,(69 Reviews),Private,"Noida,Uttar Pradesh + 1 more",11 years old,11-50 Employees (India)
7109,Amarprakash Deve...,2.9,(69 Reviews),Private,"Chennai,Tamil Nadu",18 years old,51-200 Employees (India)
7110,Genisys Informat...,3.6,(69 Reviews),Private,"London,England + 1 more",17 years old,501-1k Employees (India)
7111,Line O Matic Gra...,3.6,(69 Reviews),Ahmedabad,25 years old,201-500 Employees (India),nan
7112,Ajmal Perfumes,3.7,(69 Reviews),LLC,Dubai + 14 more,71 years old,501-1k Employees (Global)
7113,Al Jaber Energy ...,4.6,(69 Reviews),Private,"Abu Dhabi,Abu Dhabi + 4 more",28 years old,1 Lakh+ Employees (India)
7114,Corpone Staffing...,3.8,(69 Reviews),Private,Secunderabad + 5 more,17 years old,501-1k Employees (India)
7115,Thermo Systems I...,4.3,(69 Reviews),Hyderabad + 8 more,17 years old,501-1k Employees (India),nan
7116,Enpro Industries,4.0,(69 Reviews),Pune + 1 more,34 years old,201-500 Employees (India),nan
7117,Swarovski,3.9,(69 Reviews),Private,"Wattens,Austria + 14 more",127 years old,501-1k Employees (India)
7118,Sapphire Softwar...,4.6,(69 Reviews),Private,"Ahmedabad,Gujarat + 1 more",22 years old,51-200 Employees (India)
7119,Dayanand Medical...,4.1,(69 Reviews),Private,Ludhiana + 2 more,58 years old,1k-5k Employees (India)
7120,Wadia Techno-Eng...,4.0,(69 Reviews),Public,"Mumbai,Maharashtra + 20 more",62 years old,51-200 Employees (India)
7121,Excel Industries,4.4,(69 Reviews),Public,"Mumbai,Maharashtra + 12 more",81 years old,1k-5k Employees (India)
7122,Rivoli Group,3.6,(69 Reviews),Dubai + 4 more,34 years old,1k-5k Employees (India),nan
7123,Saint-Gobain Web...,3.8,(69 Reviews),Mumbai + 17 more,1k-5k Employees (India),nan,nan
7124,Sungwoo Hitech,4.0,(69 Reviews),Private,Busan + 2 more,45 years old,51-200 Employees (India)
7125,Sartorius Stedim...,4.1,(69 Reviews),Private,"Goettingen,Niedersachsen + 7 more",31 years old,201-500 Employees (India)
7126,Calvin Klein Jea...,4.7,(69 Reviews),Public,"New York City,Midtown Manhattan + 21 more",54 years old,10k-50k Employees (Global)
7127,Al Bawani Co.,3.6,(69 Reviews),Private,Riyadh + 3 more,31 years old,1k-5k Employees (Global)
7128,Ramdev Food Prod...,4.5,(69 Reviews),Ahmedabad + 8 more,57 years old,501-1k Employees (India),nan
7129,MSF,4.7,(69 Reviews),NGO/NPO,Geneva + 20 more,51 years old,501-1k Employees (India)
7130,BML Munjal Unive...,3.8,(69 Reviews),Private,"Delhi/NCR,New Delhi + 4 more",8 years old,201-500 Employees (India)
7131,Brij Gopal Const...,3.9,(69 Reviews),Private,New Delhi + 13 more,23 years old,1k-5k Employees (India)
7132,Brose India Auto...,4.1,(69 Reviews),Private,Coburg,16 years old,201-500 Employees (India)
7133,Total Shipping &...,3.9,(69 Reviews),"Mumbai,Maharashtra + 17 more",24 years old,201-500 Employees (India),nan
7134,Grace Toyota,3.7,(69 Reviews),Nagpur + 6 more,21 years old,51-200 Employees (India),nan
7135,Airworks,4.0,(69 Reviews),Hosur + 10 more,51-200 Employees (India),nan,nan
7136,Elkayem Auto Anc...,3.7,(69 Reviews),Hosur + 1 more,34 years old,51-200 Employees (India),nan
7137,GO MO Group AB,4.3,(69 Reviews),Private,Kista,8 years old,11-50 Employees (India)
7138,LEONI,3.1,(69 Reviews),Pune + 2 more,51-200 Employees (India),nan,nan
7139,Excel Industries,4.4,(69 Reviews),Public,"Mumbai,Maharashtra + 12 more",81 years old,1k-5k Employees (India)
7140,Rivoli Group,3.6,(69 Reviews),Dubai + 4 more,34 years old,1k-5k Employees (India),nan
7141,Saint-Gobain Web...,3.8,(69 Reviews),Mumbai + 17 more,1k-5k Employees (India),nan,nan
7142,Auma,4.0,(69 Reviews),Private,Muellheim + 5 more,58 years old,201-500 Employees (India)
7143,Kothari Agritech,4.1,(69 Reviews),Private,Pune + 16 more,25 years old,201-500 Employees (India)
7144,Brose India Auto...,4.1,(69 Reviews),Private,Coburg,16 years old,201-500 Employees (India)
7145,Sartorius Stedim...,4.1,(69 Reviews),Private,"Goettingen,Niedersachsen + 7 more",31 years old,201-500 Employees (India)
7146,Welkin Telecom I...,3.3,(69 Reviews),Private,Kolkata + 9 more,18 years old,5k-10k Employees (India)
7147,Sungwoo Hitech,4.0,(69 Reviews),Private,Busan + 2 more,45 years old,51-200 Employees (India)
7148,Mehin,3.7,(69 Reviews),New Delhi + 26 more,201-500 Employees (India),nan,nan
7149,Telecommunicatio...,3.7,(69 Reviews),Private,"Delhi/NCR,Delhi + 21 more",44 years old,1k-5k Employees (India)
7150,Rishi FIBC Solut...,3.6,(69 Reviews),Private,Vadodara + 3 more,15 years old,1k-5k Employees (India)
7151,GO MO Group AB,4.3,(69 Reviews),Private,Kista,8 years old,11-50 Employees (India)
7152,Spc Life Science...,3.1,(69 Reviews),Private,Vadodara,16 years old,51-200 Employees (India)
7153,Crystal Ceramic ...,2.7,(69 Reviews),Private,Ahemdabad + 23 more,25 years old,51-200 Employees (India)
7154,Elkayem Auto Anc...,3.7,(69 Reviews),Hosur + 1 more,34 years old,51-200 Employees (India),nan
7155,Brij Gopal Const...,3.9,(69 Reviews),Private,New Delhi + 13 more,23 years old,1k-5k Employees (India)
7156,Velankani Electr...,3.5,(69 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 5 more",37 years old,501-1k Employees (India)
7157,Digiperform,4.6,(69 Reviews),"Delhi,NCT + 6 more",8 years old,11-50 Employees (India),nan
7158,DCDC Kidney Care,3.2,(69 Reviews),"Delhi,NCT + 20 more",13 years old,201-500 Employees (India),nan
7159,Seeh Al Sarya En...,3.5,(69 Reviews),Private,Muscat + 3 more,25 years old,1k-5k Employees (India)
7160,Zenith Precision,4.1,(69 Reviews),Bengaluru,36 years old,51-200 Employees (India),nan
7161,TeamLease Staffi...,3.9,(69 Reviews),Private,"Bangalore,Karnataka + 17 more",20 years old,1k-5k Employees (India)
7162,Wadia Techno-Eng...,4.0,(69 Reviews),Public,"Mumbai,Maharashtra + 20 more",62 years old,51-200 Employees (India)
7163,Andhra Pradesh S...,4.6,(69 Reviews),Vijayawada + 18 more,64 years old,nan,nan
7164,Amalgamations Va...,4.3,(69 Reviews),Private,Chennai + 3 more,25 years old,501-1k Employees (India)
7165,Zahran Operation...,3.8,(69 Reviews),Private,Riyadh + 6 more,47 years old,201-500 Employees (India)
7166,S K Patodia & As...,3.8,(69 Reviews),Mumbai + 16 more,30 years old,10k-50k Employees (India),nan
7167,Minda Kyoraku,3.6,(69 Reviews),Public,Gurugram + 7 more,14 years old,51-200 Employees (India)
7168,"Cmc Limited, A T...",4.5,(69 Reviews),Hyderabad + 18 more,47 years old,5k-10k Employees (India),nan
7169,Thermo Systems I...,4.3,(69 Reviews),Hyderabad + 8 more,17 years old,501-1k Employees (India),nan
7170,Juma Al Majid Gr...,4.3,(69 Reviews),Private,Dubai + 5 more,72 years old,5k-10k Employees (Global)
7171,Calvin Klein Jea...,4.7,(69 Reviews),Public,"New York City,Midtown Manhattan + 21 more",54 years old,10k-50k Employees (Global)
7172,Ramdev Food Prod...,4.5,(69 Reviews),Ahmedabad + 8 more,57 years old,501-1k Employees (India),nan
7173,Al Bawani Co.,3.6,(69 Reviews),Private,Riyadh + 3 more,31 years old,1k-5k Employees (Global)
7174,Airworks,4.0,(69 Reviews),Hosur + 10 more,51-200 Employees (India),nan,nan
7175,BML Munjal Unive...,3.8,(69 Reviews),Private,"Delhi/NCR,New Delhi + 4 more",8 years old,201-500 Employees (India)
7176,Gujarat Guardian...,4.0,(69 Reviews),"Noida,UP + 7 more",30 years old,201-500 Employees (India),nan
7177,Concerntrix daks...,4.2,(69 Reviews),Gurgaon/Gurugram + 13 more,nan,nan,nan
7178,Hero Housing Fin...,4.0,(69 Reviews),New Delhi + 25 more,5 years old,201-500 Employees (India),nan
7179,HGS TECHNOLOGIES,3.9,(69 Reviews),Bengaluru/Bangalore + 13 more,201-500 Employees (India),nan,nan
7180,Sri Ramachandra ...,4.6,(69 Reviews),Private,"Chennai,Tamil Nadu + 4 more",32 years old,201-500 Employees (India)
7181,Glatt Systems,4.2,(69 Reviews),Private,Baden-Württemberg,68 years old,51-200 Employees (India)
7182,Deepija Telecom,4.5,(69 Reviews),Private,Hyderabad + 7 more,19 years old,201-500 Employees (India)
7183,Tranistics Data ...,3.8,(69 Reviews),Private,Kolkata + 2 more,12 years old,51-200 Employees (India)
7184,Huron Consulting...,4.1,(69 Reviews),Private,"Chicago,Illinois + 4 more",20 years old,501-1k Employees (India)
7185,INIFD,3.9,(69 Reviews),Private,Chandigarh + 27 more,27 years old,51-200 Employees (Global)
7186,GTT Communicatio...,3.9,(69 Reviews),Private,McLean + 1 more,24 years old,201-500 Employees (India)
7187,Intertrust Group,3.8,(69 Reviews),Public,"Amsterdam, + 4 more",70 years old,201-500 Employees (India)
7188,Varian Medical S...,3.9,(69 Reviews),Private,"Palo Alto,California + 6 more",74 years old,501-1k Employees (India)
7189,Finolex,4.0,(671 Reviews),"Pune,Maharashtra + 17 more",64 years old,1k-5k Employees (India),nan
7190,Avasarala Techno...,3.8,(68 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 4 more",37 years old,201-500 Employees (India)
7191,Hindustan Copper,4.3,(68 Reviews),Public,Kolkata + 4 more,55 years old,1k-5k Employees (India)
7192,Baker Gauges,4.0,(68 Reviews),Private,"Pune,Maharashtra + 2 more",50 years old,201-500 Employees (India)
7193,Grb Dairy Foods,3.8,(68 Reviews),Bengaluru + 11 more,38 years old,201-500 Employees (India),nan
7194,Danem Engineerin...,3.7,(68 Reviews),Doha + 5 more,24 years old,51-200 Employees (India),nan
7195,IRIS Business Se...,4.5,(68 Reviews),Public,"Navi Mumbai,Maharashtra + 6 more",28 years old,201-500 Employees (India)
7196,Platinum One,3.5,(68 Reviews),Thane + 5 more,14 years old,501-1k Employees (India),nan
7197,Cp Aquaculture,4.0,(68 Reviews),Chennai + 11 more,28 years old,501-1k Employees (India),nan
7198,Orient Blackswan,4.2,(68 Reviews),Private,Hyderabad + 14 more,74 years old,501-1k Employees (India)
7199,Baker Gauges,4.0,(68 Reviews),Private,"Pune,Maharashtra + 2 more",50 years old,201-500 Employees (India)
7200,Guardian Lifecar...,3.7,(68 Reviews),Private,"Mumbai,Maharashtra + 12 more",19 years old,201-500 Employees (Global)
7201,Alliance Univers...,3.6,(68 Reviews),Private,Bengaluru + 2 more,12 years old,501-1k Employees (India)
7202,Akshaya,4.1,(68 Reviews),Private,"Chennai,Tamil Nadu + 5 more",27 years old,51-200 Employees (India)
7203,Krishi Rasayan E...,4.0,(68 Reviews),New Delhi + 21 more,27 years old,201-500 Employees (India),nan
7204,Tirupati Group,4.2,(68 Reviews),Public,"Sirmour,Himachal Pradesh + 6 more",17 years old,51-200 Employees (India)
7205,PS Group,4.2,(68 Reviews),Private,"Kolkata,West Bengal + 3 more",37 years old,201-500 Employees (India)
7206,Madhu Silica,4.1,(68 Reviews),Private,"Bhavnagar,Gujarat",35 years old,51-200 Employees (India)
7207,Enrich Energy,4.0,(68 Reviews),Private,"Pune,Maharashtra + 4 more",12 years old,51-200 Employees (India)
7208,Hungama Digital ...,4.3,(68 Reviews),"Mumbai,Maharashtra + 5 more",23 years old,501-1k Employees (India),nan
7209,Surya Food & Agr...,3.9,(68 Reviews),Private,Noida + 15 more,28 years old,1k-5k Employees (India)
7210,Celkon Mobiles,3.4,(68 Reviews),Private,Hyderabad/Secunderabad + 11 more,13 years old,1-10 Employees (India)
7211,MIC Electronics,3.4,(68 Reviews),Public,Hyderabad + 19 more,34 years old,201-500 Employees (India)
7212,Inchcape Shippin...,3.7,(68 Reviews),Private,London + 8 more,175 years old,201-500 Employees (India)
7213,Exusia,4.6,(68 Reviews),Private,Miami + 6 more,10 years old,201-500 Employees (India)
7214,o9 Solutions,4.3,(68 Reviews),Private,Dallas,13 years old,1k-5k Employees (India)
7215,DuPont Pioneer,4.4,(68 Reviews),Private,Johnston + 16 more,96 years old,501-1k Employees (India)
7216,Alchemy Solution...,3.3,(68 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 12 more",22 years old,51-200 Employees (India)
7217,Richa Industries,3.0,(68 Reviews),Public,Faridabad + 8 more,29 years old,501-1k Employees (Global)
7218,Purplle.com,3.7,(68 Reviews),Private,"Mumbai,Maharashtra + 8 more",11 years old,201-500 Employees (India)
